# Russian noun declension paradigms (hold-popup groups).
# Generated by scripts/paradigms.py from the lexicon's lemmas via
# mawo-pymorphy3 (OpenCorpora 2025 dicts, CC BY-SA 3.0).
# lemma<TAB>number<TAB>nomn|gent|datv|accs|ablt|loct  (empty = no form)
аквариум	plur	аквариумы|аквариумов|аквариумам|аквариумы|аквариумами|аквариумах
аквариум	sing	аквариум|аквариума|аквариуму|аквариум|аквариумом|аквариуме
аки	sing	аки|аки|аки|аки|аки|аки
акий	plur	акии|акиев|акиям|акиев|акиями|акиях
акий	sing	акий|акия|акию|акия|акием|акии
аким	plur	акимы|акимов|акимам|акимов|акимами|акимах
аким	sing	аким|акима|акиму|акима|акимом|акиме
акир	plur	акиры|акиров|акирам|акиров|акирами|акирах
акир	sing	акир|акира|акиру|акира|акиром|акире
акка	sing	акка|акка|акка|акка|акка|акка
аккаунт	plur	аккаунты|аккаунтов|аккаунтам|аккаунты|аккаунтами|аккаунтах
аккаунт	sing	аккаунт|аккаунта|аккаунту|аккаунт|аккаунтом|аккаунте
аккорд	plur	аккорды|аккордов|аккордам|аккорды|аккордами|аккордах
аккорд	sing	аккорд|аккорда|аккорду|аккорд|аккордом|аккорде
аккумулятор	plur	аккумуляторы|аккумуляторов|аккумуляторам|аккумуляторы|аккумуляторами|аккумуляторах
аккумулятор	sing	аккумулятор|аккумулятора|аккумулятору|аккумулятор|аккумулятором|аккумуляторе
акр	plur	акры|акров|акрам|акры|акрами|акрах
акр	sing	акр|акра|акру|акр|акром|акре
акс	plur	аксы|аксов|аксам|аксы|аксами|аксах
акс	sing	акс|акса|аксу|акс|аксом|аксе
аксель	plur	аксели|акселей|акселям|аксели|акселями|акселях
аксель	sing	аксель|акселя|акселю|аксель|акселем|акселе
аксессуар	plur	аксессуары|аксессуаров|аксессуарам|аксессуары|аксессуарами|аксессуарах
аксессуар	sing	аксессуар|аксессуара|аксессуару|аксессуар|аксессуаром|аксессуаре
акт	plur	акты|актов|актам|акты|актами|актах
акт	sing	акт|акта|акту|акт|актом|акте
актив	plur	активы|активов|активам|активы|активами|активах
актив	sing	актив|актива|активу|актив|активом|активе
активация	plur	активации|активаций|активациям|активации|активациями|активациях
активация	sing	активация|активации|активации|активацию|активацией|активации
активность	plur	активности|активностей|активностям|активности|активностями|активностях
активность	sing	активность|активности|активности|активность|активностью|активности
актриса	plur	актрисы|актрис|актрисам|актрис|актрисами|актрисах
актриса	sing	актриса|актрисы|актрисе|актрису|актрисой|актрисе
актёр	plur	актёры|актёров|актёрам|актёров|актёрами|актёрах
актёр	sing	актёр|актёра|актёру|актёра|актёром|актёре
акула	plur	акулы|акул|акулам|акул|акулами|акулах
акула	sing	акула|акулы|акуле|акулу|акулой|акуле
акушерка	plur	акушерки|акушерок|акушеркам|акушерок|акушерками|акушерках
акушерка	sing	акушерка|акушерки|акушерке|акушерку|акушеркой|акушерке
акцент	plur	акценты|акцентов|акцентам|акценты|акцентами|акцентах
акцент	sing	акцент|акцента|акценту|акцент|акцентом|акценте
акционер	plur	акционеры|акционеров|акционерам|акционеров|акционерами|акционерах
акционер	sing	акционер|акционера|акционеру|акционера|акционером|акционере
акция	plur	акции|акций|акциям|акции|акциями|акциях
акция	sing	акция|акции|акции|акцию|акцией|акции
ала	plur	алы|ал|алам|ал|алами|алах
ала	sing	ала|алы|але|алу|алой|але
алабама	sing	алабама|алабамы|алабаме|алабаму|алабамой|алабаме
аладдин	plur	аладдины|аладдиных|аладдиным|аладдиных|аладдиными|аладдиных
аладдин	sing	аладдин|аладдина|аладдину|аладдина|аладдиным|аладдине
аламо	sing	аламо|аламо|аламо|аламо|аламо|аламо
алан	plur	аланы|аланов|аланам|аланов|аланами|аланах
алан	sing	алан|алана|алану|алана|аланом|алане
алгоритм	plur	алгоритмы|алгоритмов|алгоритмам|алгоритмы|алгоритмами|алгоритмах
алгоритм	sing	алгоритм|алгоритма|алгоритму|алгоритм|алгоритмом|алгоритме
але	sing	але|але|але|але|але|але
алек	plur	алеки|алеков|алекам|алеков|алеками|алеках
алек	sing	алек|алека|алеку|алека|алеком|алеке
алекс	plur	алексы|алексов|алексам|алексов|алексами|алексах
алекс	sing	алекс|алекса|алексу|алекса|алексом|алексе
александер	plur	александеры|александеров|александерам|александеров|александерами|александерах
александер	sing	александер|александера|александеру|александера|александером|александере
александр	plur	александры|александров|александрам|александров|александрами|александрах
александр	sing	александр|александра|александру|александра|александром|александре
александрия	plur	александрии|александрий|александриям|александрий|александриями|александриях
александрия	sing	александрия|александрии|александрии|александрию|александрией|александрии
алексей	plur	алексеи|алексеев|алексеям|алексеев|алексеями|алексеях
алексей	sing	алексей|алексея|алексею|алексея|алексеем|алексее
алекси	sing	алекси|алекси|алекси|алекси|алекси|алекси
алексис	plur	алексисы|алексисов|алексисам|алексисов|алексисами|алексисах
алексис	sing	алексис|алексиса|алексису|алексиса|алексисом|алексисе
ален	plur	алены|аленов|аленам|аленов|аленами|аленах
ален	sing	ален|алена|алену|алена|аленом|алене
алехандро	sing	алехандро|алехандро|алехандро|алехандро|алехандро|алехандро
алжир	plur	алжиры|алжиров|алжирам|алжиры|алжирами|алжирах
алжир	sing	алжир|алжира|алжиру|алжир|алжиром|алжире
али	plur	али|али|али|али|али|али
али	sing	али|али|али|али|али|али
алиби	plur	алиби|алиби|алиби|алиби|алиби|алиби
алиби	sing	алиби|алиби|алиби|алиби|алиби|алиби
алименты	plur	алименты|алиментов|алиментам|алименты|алиментами|алиментах
алиса	plur	алисы|алис|алисам|алис|алисами|алисах
алиса	sing	алиса|алисы|алисе|алису|алисой|алисе
алисий	plur	алисии|алисиев|алисиям|алисиев|алисиями|алисиях
алисий	sing	алисий|алисия|алисию|алисия|алисием|алисии
алисия	plur	алисии|алисий|алисиям|алисий|алисиями|алисиях
алисия	sing	алисия|алисии|алисии|алисию|алисией|алисии
алистер	plur	алистеры|алистеров|алистерам|алистеров|алистерами|алистерах
алистер	sing	алистер|алистера|алистеру|алистера|алистером|алистере
алиш	plur	алиши|алишей|алишам|алишей|алишами|алишах
алиш	sing	алиш|алиша|алишу|алиша|алишем|алише
алкаш	plur	алкаши|алкашей|алкашам|алкашей|алкашами|алкашах
алкаш	sing	алкаш|алкаша|алкашу|алкаша|алкашом|алкаше
алкоголик	plur	алкоголики|алкоголиков|алкоголикам|алкоголиков|алкоголиками|алкоголиках
алкоголик	sing	алкоголик|алкоголика|алкоголику|алкоголика|алкоголиком|алкоголике
алкоголичка	plur	алкоголички|алкоголичек|алкоголичкам|алкоголичек|алкоголичками|алкоголичках
алкоголичка	sing	алкоголичка|алкоголички|алкоголичке|алкоголичку|алкоголичкой|алкоголичке
алкоголь	plur	алкоголи|алкоголей|алкоголям|алкоголи|алкоголями|алкоголях
алкоголь	sing	алкоголь|алкоголя|алкоголю|алкоголь|алкоголем|алкоголе
алла	plur	аллы|алл|аллам|алл|аллами|аллах
алла	sing	алла|аллы|алле|аллу|аллой|алле
аллан	plur	алланы|алланов|алланам|алланов|алланами|алланах
аллан	sing	аллан|аллана|аллану|аллана|алланом|аллане
аллах	plur	аллахи|аллахов|аллахам|аллахов|аллахами|аллахах
аллах	sing	аллах|аллаха|аллаху|аллаха|аллахом|аллахе
аллен	plur	аллены|алленов|алленам|алленов|алленами|алленах
аллен	sing	аллен|аллена|аллену|аллена|алленом|аллене
аллергия	plur	аллергии|аллергий|аллергиям|аллергии|аллергиями|аллергиях
аллергия	sing	аллергия|аллергии|аллергии|аллергию|аллергией|аллергии
аллея	plur	аллеи|аллей|аллеям|аллеи|аллеями|аллеях
аллея	sing	аллея|аллеи|аллее|аллею|аллеей|аллее
аллигатор	plur	аллигаторы|аллигаторов|аллигаторам|аллигаторов|аллигаторами|аллигаторах
аллигатор	sing	аллигатор|аллигатора|аллигатору|аллигатора|аллигатором|аллигаторе
алмаз	plur	алмазы|алмазов|алмазам|алмазы|алмазами|алмазах
алмаз	sing	алмаз|алмаза|алмазу|алмаз|алмазом|алмазе
ало	sing	ало|ало|ало|ало|ало|ало
алонсо	plur	алонсо|алонсо|алонсо|алонсо|алонсо|алонсо
алонсо	sing	алонсо|алонсо|алонсо|алонсо|алонсо|алонсо
алтарь	plur	алтари|алтарей|алтарям|алтари|алтарями|алтарях
алтарь	sing	алтарь|алтаря|алтарю|алтарь|алтарём|алтаре
алфавит	plur	алфавиты|алфавитов|алфавитам|алфавиты|алфавитами|алфавитах
алфавит	sing	алфавит|алфавита|алфавиту|алфавит|алфавитом|алфавите
алхимик	plur	алхимики|алхимиков|алхимикам|алхимиков|алхимиками|алхимиках
алхимик	sing	алхимик|алхимика|алхимику|алхимика|алхимиком|алхимике
алхимия	plur	алхимии|алхимий|алхимиям|алхимии|алхимиями|алхимиях
алхимия	sing	алхимия|алхимии|алхимии|алхимию|алхимией|алхимии
альбер	plur	альберы|альберов|альберам|альберов|альберами|альберах
альбер	sing	альбер|альбера|альберу|альбера|альбером|альбере
альберт	plur	альберты|альбертов|альбертам|альбертов|альбертами|альбертах
альберт	sing	альберт|альберта|альберту|альберта|альбертом|альберте
альберто	plur	альберто|альберто|альберто|альберто|альберто|альберто
альберто	sing	альберто|альберто|альберто|альберто|альберто|альберто
альбом	plur	альбомы|альбомов|альбомам|альбомы|альбомами|альбомах
альбом	sing	альбом|альбома|альбому|альбом|альбомом|альбоме
альбукерка	plur	альбукерки|альбукерок|альбукеркам|альбукерки|альбукерками|альбукерках
альбукерка	sing	альбукерка|альбукерки|альбукерке|альбукерку|альбукеркой|альбукерке
альварес	plur	альваресы|альваресов|альваресам|альваресов|альваресами|альваресах
альварес	sing	альварес|альвареса|альваресу|альвареса|альваресом|альваресе
альваро	sing	альваро|альваро|альваро|альваро|альваро|альваро
альдо	sing	альдо|альдо|альдо|альдо|альдо|альдо
альма	sing	альма|альмы|альме|альму|альмой|альме
альтернатива	plur	альтернативы|альтернатив|альтернативам|альтернативы|альтернативами|альтернативах
альтернатива	sing	альтернатива|альтернативы|альтернативе|альтернативу|альтернативой|альтернативе
альтман	plur	альтманы|альтманов|альтманам|альтманов|альтманами|альтманах
альтман	sing	альтман|альтмана|альтману|альтмана|альтманом|альтмане
альф	plur	альфы|альфов|альфам|альфов|альфами|альфах
альф	sing	альф|альфа|альфу|альфа|альфом|альфе
альфа	plur	альфы|альф|альфам|альфы|альфами|альфах
альфа	sing	альфа|альфы|альфе|альфу|альфой|альфе
альфонс	plur	альфонсы|альфонсов|альфонсам|альфонсов|альфонсами|альфонсах
альфонс	sing	альфонс|альфонса|альфонсу|альфонса|альфонсом|альфонсе
альфонсо	sing	альфонсо|альфонсо|альфонсо|альфонсо|альфонсо|альфонсо
альфред	plur	альфреды|альфредов|альфредам|альфредов|альфредами|альфредах
альфред	sing	альфред|альфреда|альфреду|альфреда|альфредом|альфреде
альфредо	sing	альфредо|альфредо|альфредо|альфредо|альфредо|альфредо
альянс	plur	альянсы|альянсов|альянсам|альянсы|альянсами|альянсах
альянс	sing	альянс|альянса|альянсу|альянс|альянсом|альянсе
аляска	sing	аляска|аляски|аляске|аляску|аляской|аляске
ама	plur	амы|ам|амам|ам|амами|амах
ама	sing	ама|амы|аме|аму|амой|аме
амазонка	plur	амазонки|амазонок|амазонкам|амазонки|амазонками|амазонках
амазонка	sing	амазонка|амазонки|амазонке|амазонку|амазонкой|амазонке
аманда	plur	аманды|аманд|амандам|аманд|амандами|амандах
аманда	sing	аманда|аманды|аманде|аманду|амандой|аманде
амар	plur	амары|амаров|амарам|амаров|амарами|амарах
амар	sing	амар|амара|амару|амара|амаром|амаре
амарый	plur	амарыи|амарыев|амарыям|амарыев|амарыями|амарыях
амарый	sing	амарый|амарыя|амарыю|амарыя|амарыем|амарые
амбар	plur	амбары|амбаров|амбарам|амбары|амбарами|амбарах
амбар	sing	амбар|амбара|амбару|амбар|амбаром|амбаре
амбиция	plur	амбиции|амбиций|амбициям|амбиции|амбициями|амбициях
амбиция	sing	амбиция|амбиции|амбиции|амбицию|амбицией|амбиции
амели	plur	амели|амели|амели|амели|амели|амели
амели	sing	амели|амели|амели|амели|амели|амели
амелия	plur	амелии|амелий|амелиям|амелии|амелиями|амелиях
амелия	sing	амелия|амелии|амелии|амелию|амелией|амелии
америка	sing	америка|америки|америке|америку|америкой|америке
американа	plur	американы|американ|американам|американы|американами|американах
американа	sing	американа|американы|американе|американу|американой|американе
американец	plur	американцы|американцев|американцам|американцев|американцами|американцах
американец	sing	американец|американца|американцу|американца|американцем|американце
американка	plur	американки|американок|американкам|американок|американками|американках
американка	sing	американка|американки|американке|американку|американкой|американке
ами	sing	ами|ами|ами|ами|ами|ами
амир	plur	амиры|амиров|амирам|амиров|амирами|амирах
амир	sing	амир|амира|амиру|амира|амиром|амире
амнезия	plur	амнезии|амнезий|амнезиям|амнезии|амнезиями|амнезиях
амнезия	sing	амнезия|амнезии|амнезии|амнезию|амнезией|амнезии
амос	plur	амосы|амосов|амосам|амосов|амосами|амосах
амос	sing	амос|амоса|амосу|амоса|амосом|амосе
амстердам	plur	амстердамы|амстердамов|амстердамам|амстердамы|амстердамами|амстердамах
амстердам	sing	амстердам|амстердама|амстердаму|амстердам|амстердамом|амстердаме
амулет	plur	амулеты|амулетов|амулетам|амулеты|амулетами|амулетах
амулет	sing	амулет|амулета|амулету|амулет|амулетом|амулете
ан	sing	ан|ан|ан|ан|ан|ан
ана	plur	аны|ан|анам|аны|анами|анах
ана	sing	ана|аны|ане|ану|аной|ане
анализ	plur	анализы|анализов|анализам|анализы|анализами|анализах
анализ	sing	анализ|анализа|анализу|анализ|анализом|анализе
аналитик	plur	аналитики|аналитиков|аналитикам|аналитиков|аналитиками|аналитиках
аналитик	sing	аналитик|аналитика|аналитику|аналитика|аналитиком|аналитике
аналог	plur	аналоги|аналогов|аналогам|аналоги|аналогами|аналогах
аналог	sing	аналог|аналога|аналогу|аналог|аналогом|аналоге
аналогия	plur	аналогии|аналогий|аналогиям|аналогии|аналогиями|аналогиях
аналогия	sing	аналогия|аналогии|аналогии|аналогию|аналогией|аналогии
ананас	plur	ананасы|ананасов|ананасам|ананасы|ананасами|ананасах
ананас	sing	ананас|ананаса|ананасу|ананас|ананасом|ананасе
анархия	plur	анархии|анархий|анархиям|анархии|анархиями|анархиях
анархия	sing	анархия|анархии|анархии|анархию|анархией|анархии
анастасия	plur	анастасии|анастасий|анастасиям|анастасий|анастасиями|анастасиях
